index,full_name,short_name,description,output_type
43,ee.Algorithms.TemporalSegmentation.Verdet,ee.Algorithms.TemporalSegmentation.Verdet,"Vegetation Regeneration and Disturbance Estimates through Time, forest change detection algorithm. This algorithm generates a yearly clear-sky composite from satellite imagery, calculates a spectral vegetation index for each pixel in that composite, spatially segments the vegetation index image into patches, temporally divides the time series into differently sloped segments, and then labels those segments as disturbed, stable, or regenerating. Segmentation at both the spatial and temporal steps are performed using total variation regularization.",Image
44,ee.Algorithms.Terrain,ee.Algorithms.Terrain,"Calculates slope, aspect, and a simple hillshade from a terrain DEM.",Image
45,ee.apply,apply,Call a function with a dictionary of named arguments.,ComputedObject
46,ee.Array,ee.Array,Returns an array with the given coordinates.,Array
47,ee.Array.accum,accum,"Accumulates elements of an array along the given axis, by setting each element of the result to the reduction of elements along that axis up to and including the current position. May be used to make a cumulative sum, a monotonically increasing sequence, etc.",Array
48,ee.Array.argmax,argmax,"Returns the position, as a list of indices in each array axis, of the maximum value in an array, or null if the array is empty. If there are multiple occurrences of the maximum, returns the position of the first.",List
49,ee.Array.bitsToArray,bitsToArray,"Convert the bits of an integer to an Array.  The array has as many elements as the position of the highest set bit, or a single 0 for a value of 0.",Array
50,ee.Array.cut,cut,Cut an array along one or more axes.,Array
51,ee.Array.dotProduct,dotProduct,Compute the dot product between two 1-D arrays.,Number
52,ee.Array.eigen,eigen,"Computes the real eigenvectors and eigenvalues of a square 2D array of A rows and A columns. Returns an array with A rows and A+1 columns, where each row contains an eigenvalue in the first column, and the corresponding eigenvector in the remaining A columns. The rows are sorted by eigenvalue, in descending order.",Array
53,ee.Array.erfc,erfc,"On an element-wise basis, computes the complementary error function of the input.",Array
54,ee.Array.erfcInv,erfcInv,"On an element-wise basis, computes the inverse complementary error function of the input.",Array
55,ee.Array.firstNonZero,firstNonZero,"On an element-wise basis, selects the first value if it is non-zero, and the second value otherwise.",Array
56,ee.Array.identity,identity,Creates a 2D identity matrix of the given size.,Array
57,ee.Array.matrixTrace,matrixTrace,Computes the trace of the matrix.,Number
58,ee.Array.pad,pad,"Pad an array to a given length. The pad value will be repeatedly appended to the array to extend it to given length along each axis. If the array is already as large or larger than a given length, it will remain unchanged along that axis.",Array
59,ee.Array.project,project,Projects an array to a lower dimensional space by specifying the axes to retain. Dropped axes must be at most length 1.,Array
60,ee.Array.repeat,ee.Array.repeat,"Repeats the array along the given axis. The result will have the shape of the input, except length along the repeated axis will be multiplied by the given number of copies.",Array
61,ee.Array.reshape,reshape,Reshapes an array to a new list of dimension lengths.,Array
62,ee.Array.transpose,transpose,Transposes two dimensions of an array.,Array
63,ee.Blob,ee.Blob,Loads a Blob from a Google Cloud Storage URL.,Blob
64,ee.Blob.string,string,Returns the contents of the blob as a String.,String
65,ee.Blob.url,url,Returns the Blob's Google Cloud Storage URL.,String
66,ee.call,call,Call a function with the given positional arguments.,ComputedObject
67,ee.Classifier.amnhMaxent,ee.Classifier.amnhMaxent,"Creates a Maximum Entropy classifier.  Maxent is used to model species distribution probabilities using environmental data for locations of known presence and for a large number of 'background' locations. For more information and to cite, see: https://biodiversityinformatics.amnh.org/open_source/maxent/ and the reference  publication: Phillips, et. al., 2004 A maximum entropy approach to species distribution  modeling, Proceedings of the Twenty-First International Conference on Machine Learning. The output is a single band named 'probability', containing the modeled probability,  and an additional band named 'clamp' when the 'writeClampGrid' argument is true.",Classifier
68,ee.Classifier.confusionMatrix,ee.Classifier.confusionMatrix,"Computes a 2D confusion matrix for a classifier based on its training data (ie: resubstitution error).  Axis 0 of the matrix corresponds to the input classes, and axis 1 corresponds to the output classes.  The rows and columns  start at class 0 and increase sequentially up to the maximum class value, so some rows or columns might be empty if the input classes aren't 0-based or sequential.",ConfusionMatrix
69,ee.Classifier.decisionTree,ee.Classifier.decisionTree,Creates a classifier that applies the given decision tree.,Classifier
70,ee.Classifier.decisionTreeEnsemble,ee.Classifier.decisionTreeEnsemble,Creates a classifier that applies the given decision trees.,Classifier
71,ee.Classifier.explain,ee.Classifier.explain,Describe the results of a trained classifier.,Dictionary
72,ee.Classifier.libsvm,ee.Classifier.libsvm,Creates an empty Support Vector Machine classifier.,Classifier
73,ee.Classifier.minimumDistance,ee.Classifier.minimumDistance,"Creates a minimum distance classifier for the given distance metric.  In CLASSIFICATION mode, the nearest class is returned.  In REGRESSION mode, the distance to the nearest class center is returned.  In RAW mode, the distance to every class center is returned.",Classifier
74,ee.Classifier.mode,ee.Classifier.mode,"Returns the classifier mode: , , , ,  or .",String
75,ee.Classifier.schema,ee.Classifier.schema,"Returns the names of the inputs used by this classifier, or null if this classifier has not had any training data added yet.",List
76,ee.Classifier.setOutputMode,ee.Classifier.setOutputMode,Sets the output mode.,Classifier
77,ee.Classifier.smileCart,ee.Classifier.smileCart,Creates an empty CART classifier. See:,Classifier
78,ee.Classifier.smileGradientTreeBoost,ee.Classifier.smileGradientTreeBoost,Creates an empty Gradient Tree Boost classifier.,Classifier
79,ee.Classifier.smileNaiveBayes,ee.Classifier.smileNaiveBayes,"Creates an empty Naive Bayes classifier.  This classifier assumes that the feature vector consists of positive integers, and negative inputs are discarded.",Classifier
80,ee.Classifier.smileRandomForest,ee.Classifier.smileRandomForest,Creates an empty Random Forest classifier.,Classifier
81,ee.Classifier.spectralRegion,ee.Classifier.spectralRegion,Creates a classifier that tests if its inputs lie within a polygon defined by a set  of coordinates in an arbitrary 2D coordinate system.  Each input to be classified  must have 2 values (e.g.: images must have 2 bands).  The result will be 1 wherever  the input values are contained within the given polygon and 0 otherwise.,Classifier
82,ee.Classifier.train,train,"Trains the classifier on a collection of features, using the specified numeric properties of each feature as training data. The geometry of the features is ignored.",Classifier
83,ee.Clusterer.schema,ee.Clusterer.schema,"Returns the names of the inputs used by this Clusterer, or null if this Clusterer has not had any training data added yet.",List
84,ee.Clusterer.train,train,"Trains the Clusterer on a collection of features, using the specified numeric properties of each feature as training data. The geometry of the features is ignored.",Clusterer
85,ee.Clusterer.wekaCascadeKMeans,ee.Clusterer.wekaCascadeKMeans,"Cascade simple k-means, selects the best k according to the Calinski-Harabasz criterion. For more information see:",Clusterer
86,ee.Clusterer.wekaCobweb,ee.Clusterer.wekaCobweb,Implementation of the Cobweb clustering algorithm. For more information see:,Clusterer
87,ee.Clusterer.wekaKMeans,ee.Clusterer.wekaKMeans,"Cluster data using the k means algorithm. Can use either the Euclidean distance (default) or the Manhattan distance. If the Manhattan distance is used, then centroids are computed as the component-wise median rather than mean. For more information see:",Clusterer
88,ee.Clusterer.wekaLVQ,ee.Clusterer.wekaLVQ,"A Clusterer that implements the Learning Vector Quantization algorithm. For more details, see:",Clusterer
89,ee.Clusterer.wekaXMeans,ee.Clusterer.wekaXMeans,X-Means is K-Means with an efficient estimation of the number of clusters. For more information see:,Clusterer
90,ee.ConfusionMatrix,ee.ConfusionMatrix,"Creates a confusion matrix. Axis 0 (the rows) of the matrix correspond to the actual values, and Axis 1 (the columns) to the predicted values.",ConfusionMatrix
91,ee.ConfusionMatrix.accuracy,accuracy,Computes the overall accuracy of a confusion matrix defined as correct / total.,Float
92,ee.ConfusionMatrix.array,array,Returns a confusion matrix as an Array.,Array
93,ee.ConfusionMatrix.consumersAccuracy,consumersAccuracy,Computes the consumer's accuracy (reliability) of a confusion matrix defined as (correct / total) for each row.,Array
94,ee.ConfusionMatrix.fscore,fscore,Computes the Fβ-score for the confusion matrix.,Array
95,ee.ConfusionMatrix.kappa,kappa,Computes the Kappa statistic for the confusion matrix.,Float
96,ee.ConfusionMatrix.order,order,Returns the name and order of the rows and columns of the matrix.,List
97,ee.ConfusionMatrix.producersAccuracy,producersAccuracy,Computes the producer's accuracy of a confusion matrix defined as (correct / total) for each column.,Array
98,ee.data.authenticateViaOauth,authenticateViaOauth,Configures client-side authentication of EE API calls through the Google APIs Client Library for JavaScript. The library will be loaded automatically if it is not already loaded on the page. The user will be asked to grant the application identified by clientId access to their EE data if they have not done so previously.,EMPTY
99,ee.data.authenticateViaPopup,authenticateViaPopup,Shows a popup asking for the user's permission. Should only be called if ee.data.authenticate() called its opt_onImmediateFailed argument in the past.,EMPTY
100,ee.data.authenticateViaPrivateKey,authenticateViaPrivateKey,"Configures server-side authentication of EE API calls through the Google APIs Node.js Client. Private key authentication is strictly for server-side API calls: for browser-based applications, use ee.data.authenticateViaOauth(). No user interaction (e.g. authentication popup) is necessary when using server-side authentication.",EMPTY
101,ee.data.cancelOperation,cancelOperation,Cancels the given operation(s).,EMPTY
102,ee.data.computeValue,computeValue,Sends a request to compute a value.,Object|Value
103,ee.data.copyAsset,copyAsset,Copies the asset from sourceId into destinationId.,EMPTY
104,ee.data.createAsset,createAsset,"Creates an asset from a JSON value. To create an empty image collection or folder, pass in a ""value"" object with a ""type"" key whose value is one of ee.data.AssetType.* (i.e. ""ImageCollection"" or ""Folder"").",Object
105,ee.data.createAssetHome,createAssetHome,"Attempts to create a home root folder (e.g. ""users/joe"") for the current user. This results in an error if the user already has a home root folder or the requested ID is unavailable.",EMPTY
106,ee.data.createFolder,createFolder,Creates an asset folder.,Object
107,ee.data.deleteAsset,deleteAsset,Deletes the asset with the given id.,EMPTY
108,ee.data.getAsset,getAsset,"Load info for an asset, given an asset id.",Object
109,ee.data.getAssetAcl,getAssetAcl,Returns the access control list of the asset with the given ID.,AssetAcl
110,ee.data.getAssetRootQuota,getAssetRootQuota,Returns quota usage details for the asset root with the given ID.,AssetQuotaDetails
111,ee.data.getAssetRoots,getAssetRoots,"Returns the list of the root folders the user owns. The ""id"" values for roots are two levels deep, e.g. ""users/johndoe"" not ""users/johndoe/notaroot"".",List
112,ee.data.getDownloadId,getDownloadId,Get a Download ID.,DownloadId
113,ee.data.getFeatureViewTilesKey,getFeatureViewTilesKey,Get a tiles key for a given map or asset. The tiles key can be passed to an instance of FeatureViewTileSource which can be rendered on a base map outside of the Code Editor.,FeatureViewTilesKey
114,ee.data.getFilmstripThumbId,getFilmstripThumbId,Get a Filmstrip Thumbnail Id for a given asset.,ThumbnailId
115,ee.data.getMapId,getMapId,Get a Map ID for a given asset,RawMapId
116,ee.data.getOperation,getOperation,Gets information on an operation or list of operations.,Dictionary
117,ee.data.getPixels (Python only),getPixels (Python only),Fetches pixels from an image asset.,Object|Value
118,ee.data.getTableDownloadId,getTableDownloadId,Get a download ID.,DownloadId
119,ee.data.getTileUrl,getTileUrl,"Generate a URL for map tiles from a Map ID and coordinates. If formatTileUrl is not present, we generate it by using or guessing the urlFormat string, and add urlFormat and formatTileUrl to  for future use.",String
120,ee.data.getVideoThumbId,getVideoThumbId,Get a Video Thumbnail Id for a given asset.,ThumbnailId
121,ee.data.listAssets,listAssets,"Returns a list of the contents in an asset collection or folder, in an object that includes an  array and an optional .",api.ListAssetsResponse
122,ee.data.listBuckets,listBuckets,Returns a list of asset roots belonging to the user or Cloud Project. Leave the project field blank to use the current project.,api.ListAssetsResponse
123,ee.data.listFeatures,listFeatures,List features for a given table asset.,api.ListFeaturesResponse
124,ee.data.listImages,listImages,"Returns a list of the contents in an image collection, in an object that includes an  array and an optional .",ListImagesResponse
125,ee.data.listOperations,listOperations,Returns see getOperation for details on the Operation object.,List
126,ee.data.makeDownloadUrl,makeDownloadUrl,Create a download URL from a docid and token.,String
127,ee.data.makeTableDownloadUrl,makeTableDownloadUrl,Create a table download URL from a docid and token.,String
128,ee.data.makeThumbUrl,makeThumbUrl,Create a thumbnail URL from a thumbid and token.,String
129,ee.data.newTaskId,newTaskId,"Generates an ""unsubmitted"" ID for a long-running task.",List
130,ee.data.renameAsset,renameAsset,Renames the asset from sourceId to destinationId.,EMPTY
131,ee.data.resetWorkloadTag,resetWorkloadTag,"Resets the tag back to the default. If resetDefault parameter is set to true, the default will be set to empty before resetting.",EMPTY
132,ee.data.setAssetAcl,setAssetAcl,Sets the access control list of the asset with the given ID.,EMPTY
133,ee.data.setDefaultWorkloadTag,setDefaultWorkloadTag,"Sets the workload tag, and as the default for which to reset back to.",EMPTY
134,ee.data.setWorkloadTag,setWorkloadTag,"Sets the workload tag, used to label computation and exports.",EMPTY
135,ee.data.startIngestion,startIngestion,Creates an image asset ingestion task.,ProcessingResponse
136,ee.data.startProcessing,startProcessing,Create processing task that exports or pre-renders an image.,ProcessingResponse
137,ee.data.startTableIngestion,startTableIngestion,Creates a table asset ingestion task.,ProcessingResponse
138,ee.data.updateAsset,updateAsset,Updates an asset.,Object
139,ee.data.updateTask,updateTask,"Update one or more tasks' properties. For now, only the following properties may be updated: State (to CANCELLED)",List
140,ee.Date,ee.Date,Constructs a new Date object.,Date
141,ee.Date.advance,advance,Create a new Date by adding the specified units to the given Date.,Date
142,ee.Date.fromYMD,fromYMD,"Returns a Date given year, month, day.",Date
143,ee.Date.getFraction,getFraction,Returns this date's elapsed fraction of the specified unit (between 0 and 1).,Float
144,ee.Date.getRange,getRange,"Returns a DateRange covering the unit of the specified type that contains this date, e.g. Date('2013-3-15').getRange('year') returns DateRange('2013-1-1', '2014-1-1').",DateRange
145,ee.Date.getRelative,getRelative,"Returns the specified (0-based) unit of this date relative to a larger unit, e.g. getRelative('day', 'year') returns a value between 0 and 365.",Long
146,ee.Date.millis,millis,The number of milliseconds since 1970-01-01T00:00:00Z.,Long
147,ee.Date.parse,ee.Date.parse,"Parse a date string, given a string describing its format.",Date
148,ee.Date.unitRatio,unitRatio,"Returns the ratio of the length of one unit to the length of another, e.g. unitRatio('day', 'minute') returns 1440.  Valid units are 'year', 'month' 'week', 'day', 'hour', 'minute', and 'second'.",Float
149,ee.Date.update,update,Create a new Date by setting one or more of the units of the given Date to a new value.  If a timeZone is given the new value(s) is interpreted in that zone.,Date
150,ee.DateRange,ee.DateRange,"Creates a DateRange with the given start (inclusive) and end (exclusive), which may be Dates, numbers (interpreted as milliseconds since 1970-01-01T00:00:00Z), or strings (such as '1996-01-01T08:00'). If 'end' is not specified, a 1-millisecond range starting at 'start' is created.",DateRange
151,ee.DateRange.end,end,Returns the (exclusive) end of this DateRange.,Date
152,ee.DateRange.isEmpty,isEmpty,Returns true if this DateRange contains no dates (i.e. start >= end).,Boolean
153,ee.DateRange.start,start,Returns the (inclusive) start of this DateRange.,Date
154,ee.Dictionary,ee.Dictionary,Constructs a new Dictionary.,Dictionary
155,ee.Dictionary.fromLists,fromLists,Construct a dictionary from two parallel lists of keys and values.,Dictionary
156,ee.Dictionary.keys,keys,Retrieve the keys of a dictionary as a list.  The keys will be sorted in natural order.,List
157,ee.Dictionary.toImage,toImage,"Creates an image of constants from values in a dictionary. The bands of the image are ordered and named according to the names argument.  If no names are specified, the bands are sorted alpha-numerically.",Image
158,ee.Dictionary.values,values,"Returns the values of a dictionary as a list.  If no keys are specified, all values are returned in the natural ordering of the dictionary's keys.",List
159,ee.ErrorMargin,ErrorMargin,Returns an ErrorMargin of the given type with the given value.,ErrorMargin
160,ee.Feature,ee.Feature,Features can be constructed from one of the following arguments plus an optional dictionary of properties:,Feature
161,ee.Feature.perimeter,perimeter,Returns the length of the perimeter of the polygonal parts of the geometry of a given feature. The perimeter of multi geometries is the sum of the perimeters of their components.,Float
162,ee.Feature.setGeometry,setGeometry,"Returns the feature, with the geometry replaced by the specified geometry.",Feature
163,ee.Feature.symmetricDifference,symmetricDifference,Returns a feature containing the symmetric difference between geometries of two features.,Feature
164,ee.FeatureCollection,ee.FeatureCollection,FeatureCollections can be constructed from the following arguments:,FeatureCollection
165,ee.FeatureCollection.inverseDistance,inverseDistance,Returns an inverse-distance weighted estimate of the value at each pixel.,Image
166,ee.FeatureCollection.kriging,kriging,Returns the results of sampling a Kriging estimator at each pixel.,Image
167,ee.FeatureCollection.makeArray,makeArray,"Add a 1-D Array to each feature in a collection by combining a list of properties for each feature into a 1-D Array. All of the properties must be numeric values.  If a feature doesn't contain all of the named properties, or any of them aren't numeric, the feature will be dropped from the resulting collection.",FeatureCollection
168,ee.FeatureCollection.randomPoints,randomPoints,"Generates points that are uniformly random on the sphere, and within the given region.",FeatureCollection
169,ee.Filter,ee.Filter,Constructs a new filter. This constructor accepts the following args:,Filter
170,ee.Filter.and,ee.Filter.and,Combine two or more filters using boolean AND.,Filter
171,ee.Filter.area,ee.Filter.area,Returns a filter that passes if the specified geometry has an area within the given range (inclusive).,Filter
172,ee.Filter.aside,ee.Filter.aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject
173,ee.Filter.bounds,ee.Filter.bounds,Creates a filter that passes if the object's geometry intersects the given geometry.,Filter
174,ee.Filter.calendarRange,ee.Filter.calendarRange,"Returns a filter that passes if the object's timestamp falls within the given range of a calendar field. The , , , and  are 1-based. Times are assumed to be in UTC. Weeks are assumed to begin on Monday as day 1. If  <  then this tests for  >=  OR  <= , to allow for wrapping.",Filter
175,ee.Filter.contains,ee.Filter.contains,Creates a unary or binary filter that passes if the left geometry contains the right geometry (empty geometries are not contained in anything).,Filter
176,ee.Filter.date,ee.Filter.date,"Filter a collection by date range. The start and end may be Dates, numbers",Filter
177,ee.Filter.dateRangeContains,ee.Filter.dateRangeContains,"Creates a unary or binary filter that passes if the left operand, a date range, contains the right operand, a date.",Filter
178,ee.Filter.dayOfYear,ee.Filter.dayOfYear,Returns a filter that passes if the object's timestamp falls within the given day-of-year range.,Filter
179,ee.Filter.disjoint,ee.Filter.disjoint,Creates a unary or binary filter that passes unless the left geometry intersects the right geometry.,Filter
180,ee.Filter.eq,ee.Filter.eq,Filter to metadata equal to the given value.,Filter
181,ee.Filter.equals,ee.Filter.equals,Creates a unary or binary filter that passes if the two operands are equals.,Filter
182,ee.Filter.evaluate,ee.Filter.evaluate,Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.,EMPTY
183,ee.Filter.expression,ee.Filter.expression,Constructs a filter tree from a string.,Filter
184,ee.Filter.getInfo,ee.Filter.getInfo,Retrieves the value of this object from the server.,Object
185,ee.Filter.greaterThan,ee.Filter.greaterThan,Creates a unary or binary filter that passes if the left operand is greater than the right operand.,Filter
186,ee.Filter.greaterThanOrEquals,ee.Filter.greaterThanOrEquals,Creates a unary or binary filter that passes unless the left operand is less than the right operand.,Filter
187,ee.Filter.gt,ee.Filter.gt,Filter on metadata greater than the given value.,Filter
188,ee.Filter.gte,ee.Filter.gte,Filter on metadata greater than or equal to the given value.,Filter
