index,name,type,details,parent_id,parent_name,r_type,default,necessary
34,coordinates,List,"The list of Points or pairs of Numbers in x,y order.",12,ee.Algorithms.GeometryConstructors.LinearRing,List,,1
35,crs,"Projection, default: null","The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",12,ee.Algorithms.GeometryConstructors.LinearRing,Projection,,0
36,geodesic,"Boolean, default: null","If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",12,ee.Algorithms.GeometryConstructors.LinearRing,Boolean,,0
37,geometries,List,The list of geometries for the MultiGeometry.,13,ee.Algorithms.GeometryConstructors.MultiGeometry,List,,1
38,crs,"Projection, default: null","The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",13,ee.Algorithms.GeometryConstructors.MultiGeometry,Projection,,0
39,geodesic,"Boolean, default: null","If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",13,ee.Algorithms.GeometryConstructors.MultiGeometry,Boolean,,0
40,maxError,"ErrorMargin, default: null",Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,13,ee.Algorithms.GeometryConstructors.MultiGeometry,ErrorMargin,,0
41,coordinates,List,"The list of LineStrings, or to wrap a single LineString, the list of Points or pairs of Numbers in x,y order.",14,ee.Algorithms.GeometryConstructors.MultiLineString,List,,1
42,crs,"Projection, default: null","The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",14,ee.Algorithms.GeometryConstructors.MultiLineString,Projection,,0
43,geodesic,"Boolean, default: null","If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",14,ee.Algorithms.GeometryConstructors.MultiLineString,Boolean,,0
44,maxError,"ErrorMargin, default: null",Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,14,ee.Algorithms.GeometryConstructors.MultiLineString,ErrorMargin,,0
45,coordinates,List,"The list of Points or pairs of Numbers in x,y order.",15,ee.Algorithms.GeometryConstructors.MultiPoint,List,,1
46,crs,"Projection, default: null","The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",15,ee.Algorithms.GeometryConstructors.MultiPoint,Projection,,0
47,coordinates,List,"A list of Polygons, or for one simple polygon, a list of Points or pairs of Numbers in x,y order.",16,ee.Algorithms.GeometryConstructors.MultiPolygon,List,,1
48,crs,"Projection, default: null","The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",16,ee.Algorithms.GeometryConstructors.MultiPolygon,Projection,,0
49,geodesic,"Boolean, default: null","If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",16,ee.Algorithms.GeometryConstructors.MultiPolygon,Boolean,,0
50,maxError,"ErrorMargin, default: null",Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,16,ee.Algorithms.GeometryConstructors.MultiPolygon,ErrorMargin,,0
51,evenOdd,"Boolean, default: true","If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.",16,ee.Algorithms.GeometryConstructors.MultiPolygon,Boolean,TRUE,0
52,coordinates,List,"The coordinates of this Point in x,y order.",17,ee.Algorithms.GeometryConstructors.Point,List,,1
53,crs,"Projection, default: null","The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",17,ee.Algorithms.GeometryConstructors.Point,Projection,,0
54,coordinates,List,"A list of LinearRings where the first is the shell and the rest are holes, or for a simple polygon, a list of Points or pairs of Numbers in x,y order.",18,ee.Algorithms.GeometryConstructors.Polygon,List,,1
55,crs,"Projection, default: null","The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",18,ee.Algorithms.GeometryConstructors.Polygon,Projection,,0
56,geodesic,"Boolean, default: null","If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",18,ee.Algorithms.GeometryConstructors.Polygon,Boolean,,0
57,maxError,"ErrorMargin, default: null",Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,18,ee.Algorithms.GeometryConstructors.Polygon,ErrorMargin,,0
58,evenOdd,"Boolean, default: true","If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.",18,ee.Algorithms.GeometryConstructors.Polygon,Boolean,TRUE,0
59,coordinates,List,"The low and then high corners of the Rectangle, as a list of Points or pairs of Numbers in x,y order.",19,ee.Algorithms.GeometryConstructors.Rectangle,List,,1
60,crs,"Projection, default: null","The coordinate reference system of the coordinates. The  default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",19,ee.Algorithms.GeometryConstructors.Rectangle,Projection,,0
61,geodesic,"Boolean, default: null","If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",19,ee.Algorithms.GeometryConstructors.Rectangle,Boolean,,0
62,evenOdd,"Boolean, default: true","If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.",19,ee.Algorithms.GeometryConstructors.Rectangle,Boolean,TRUE,0
63,image,Image,"The image to which to apply the shadow algorithm, in which each pixel should represent an elevation in meters.",20,ee.Algorithms.HillShadow,Image,,1
64,azimuth,Float,Azimuth in degrees.,20,ee.Algorithms.HillShadow,Float,,1
65,zenith,Float,Zenith in degrees.,20,ee.Algorithms.HillShadow,Float,,1
66,neighborhoodSize,"Integer, default: 0",Neighborhood size.,20,ee.Algorithms.HillShadow,Integer,0,0
67,hysteresis,"Boolean, default: false","Use hysteresis. Less physically accurate, but may generate better images.",20,ee.Algorithms.HillShadow,Boolean,FALSE,0
68,image,Image,The image to which to apply the transform.,21,ee.Algorithms.HoughTransform,Image,,1
69,gridSize,"Integer, default: 256",The size of the grid over which to perform the computation.,21,ee.Algorithms.HoughTransform,Integer,256,0
70,inputThreshold,"Float, default: 64",Value threshold for input image. Pixels equal to or above this value are considered active.,21,ee.Algorithms.HoughTransform,Float,64,0
71,lineThreshold,"Float, default: 72",Threshold for line detection. Values equal to or above this threshold on the Hough transform are considered to be detected lines.,21,ee.Algorithms.HoughTransform,Float,72,0
72,smooth,"Boolean, default: true",Whether to smooth the Hough transform before line detection.,21,ee.Algorithms.HoughTransform,Boolean,TRUE,0
73,condition,"Object, default: null","The condition that determines which result is returned. If this is not a boolean, it is interpreted as a boolean by the following rules:

  - Numbers that are equal to 0 or a NaN are false.

  - Empty strings, lists and dictionaries are false.

  - Null is false.

  - Everything else is true.",22,ee.Algorithms.If,Object,,0
74,trueCase,"Object, default: null",The result to return if the condition is true.,22,ee.Algorithms.If,Object,,0
75,falseCase,"Object, default: null",The result to return if the condition is false.,22,ee.Algorithms.If,Object,,0
76,image,Image,The input image for clustering.,23,ee.Algorithms.Image.Segmentation.GMeans,Image,,1
77,numIterations,"Integer, default: 10",Number of iterations. Default 10.,23,ee.Algorithms.Image.Segmentation.GMeans,Integer,10,0
78,pValue,"Float, default: 50",Significance level for normality test.,23,ee.Algorithms.Image.Segmentation.GMeans,Float,50,0
79,neighborhoodSize,"Integer, default: 0",Neighborhood size.  The amount to extend each tile (overlap) when computing the clusters. This option is mutually exclusive with gridSize.,23,ee.Algorithms.Image.Segmentation.GMeans,Integer,0,0
80,gridSize,"Integer, default: null","Grid cell-size.  If greater than 0, kMeans will be run independently on cells of this size. This has the effect of limiting the size of any cluster to be gridSize or smaller.  This option is mutually exclusive with neighborhoodSize.",23,ee.Algorithms.Image.Segmentation.GMeans,Integer,,0
81,uniqueLabels,"Boolean, default: true","If true, clusters are assigned unique IDs. Otherwise, they repeat per tile or grid cell.",23,ee.Algorithms.Image.Segmentation.GMeans,Boolean,TRUE,0
82,image,Image,The input image for clustering.,24,ee.Algorithms.Image.Segmentation.KMeans,Image,,1
83,numClusters,"Integer, default: 8",Number of clusters.,24,ee.Algorithms.Image.Segmentation.KMeans,Integer,8,0
84,numIterations,"Integer, default: 20",Number of iterations.,24,ee.Algorithms.Image.Segmentation.KMeans,Integer,20,0
85,neighborhoodSize,"Integer, default: 0",Neighborhood size.  The amount to extend each tile (overlap) when computing the clusters. This option is mutually exclusive with gridSize.,24,ee.Algorithms.Image.Segmentation.KMeans,Integer,0,0
86,gridSize,"Integer, default: null","Grid cell-size.  If greater than 0, kMeans will be run independently on cells of this size. This has the effect of limiting the size of any cluster to be gridSize or smaller.  This option is mutually exclusive with neighborhoodSize.",24,ee.Algorithms.Image.Segmentation.KMeans,Integer,,0
87,forceConvergence,"Boolean, default: false","If true, an error is thrown if convergence is not achieved before numIterations.",24,ee.Algorithms.Image.Segmentation.KMeans,Boolean,FALSE,0
88,uniqueLabels,"Boolean, default: true","If true, clusters are assigned unique IDs. Otherwise, they repeat per tile or grid cell.",24,ee.Algorithms.Image.Segmentation.KMeans,Boolean,TRUE,0
89,image,Image,The input image for clustering.,25,ee.Algorithms.Image.Segmentation.SNIC,Image,,1
90,size,"Integer, default: 5","The superpixel seed location spacing, in pixels. If 'seeds' image is provided, no grid is produced.",25,ee.Algorithms.Image.Segmentation.SNIC,Integer,5,0
91,compactness,"Float, default: 1",Compactness factor. Larger values cause clusters to be more compact (square). Setting this to 0 disables spatial distance weighting.,25,ee.Algorithms.Image.Segmentation.SNIC,Float,1,0
92,connectivity,"Integer, default: 8",Connectivity.  Either 4 or 8.,25,ee.Algorithms.Image.Segmentation.SNIC,Integer,8,0
93,neighborhoodSize,"Integer, default: null",Tile neighborhood size (to avoid tile boundary artifacts). Defaults to 2 * size.,25,ee.Algorithms.Image.Segmentation.SNIC,Integer,,0
94,seeds,"Image, default: null","If provided, any non-zero valued pixels are used as seed locations. Pixels that touch (as specified by 'connectivity') are considered to belong to the same cluster.",25,ee.Algorithms.Image.Segmentation.SNIC,Image,,0
95,size,"Integer, default: 5","The superpixel seed location spacing, in pixels.",26,ee.Algorithms.Image.Segmentation.seedGrid,Integer,5,0
96,gridType,"String, default: ""square""",Type of grid. One of 'square' or 'hex'.,26,ee.Algorithms.Image.Segmentation.seedGrid,String,"""square""",0
97,left,"Object, default: null",,27,ee.Algorithms.IsEqual,Object,,0
98,right,"Object, default: null",,27,ee.Algorithms.IsEqual,Object,,0
99,input,Image,The Landsat image to process.,28,ee.Algorithms.Landsat.TOA,Image,,1
100,image,Image,The input Landsat image.,29,ee.Algorithms.Landsat.calibratedRadiance,Image,,1
101,collection,ImageCollection,The Landsat ImageCollection to limit.,30,ee.Algorithms.Landsat.pathRowLimit,ImageCollection,,1
102,maxScenesPerPathRow,"Integer, default: 25",The max number of scenes to return per path/row.,30,ee.Algorithms.Landsat.pathRowLimit,Integer,25,0
103,maxScenesTotal,"Integer, default: 100",The max number of scenes to return per request total.,30,ee.Algorithms.Landsat.pathRowLimit,Integer,100,0
104,image,Image,The Landsat TOA image to process.,31,ee.Algorithms.Landsat.simpleCloudScore,Image,,1
105,collection,ImageCollection,The raw Landsat ImageCollection to composite.,32,ee.Algorithms.Landsat.simpleComposite,ImageCollection,,1
106,percentile,"Integer, default: 50",The percentile value to use when compositing each band.,32,ee.Algorithms.Landsat.simpleComposite,Integer,50,0
107,cloudScoreRange,"Integer, default: 10",The size of the range of cloud scores to accept per pixel.,32,ee.Algorithms.Landsat.simpleComposite,Integer,10,0
108,maxDepth,"Integer, default: 40",An approximate limit on the maximum number of scenes used to compute each pixel.,32,ee.Algorithms.Landsat.simpleComposite,Integer,40,0
109,asFloat,"Boolean, default: false","If true, output bands are in the same units as the Landsat.TOA algorithm; if false, TOA values are converted to uint8 by multiplying by 255 (reflective bands) or subtracting 100 (thermal bands) and rounding to the nearest integer.",32,ee.Algorithms.Landsat.simpleComposite,Boolean,FALSE,0
110,value,"Object, default: null",The object to get the type of.,33,ee.Algorithms.ObjectType,Object,,0
111,feature,Element,The feature the geometry of which is being converted.,34,ee.Algorithms.ProjectionTransform,Feature,,3
112,feature,Element,The feature the geometry of which is being converted.,34,ee.Algorithms.ProjectionTransform,Geometry,,3
113,proj,"Projection, optional","The target projection. Defaults to WGS84. If this has a geographic CRS, the edges of the geometry will be interpreted as geodesics. Otherwise they will be interpreted as straight lines in the projection.",34,ee.Algorithms.ProjectionTransform,Projection,,0
114,maxError,"ErrorMargin, default: null",The maximum projection error.,34,ee.Algorithms.ProjectionTransform,ErrorMargin,,0
115,source,Image,The source image.,35,ee.Algorithms.Sentinel2.CDI,Image,,1
116,input,Object,The object to convert.,36,ee.Algorithms.String,Object,,1
117,collection,ImageCollection,Collection of images on which to run CCDC.,37,ee.Algorithms.TemporalSegmentation.Ccdc,ImageCollection,,1
118,breakpointBands,"List, default: null","The name or index of the bands to use for change detection. If unspecified, all bands are used.",37,ee.Algorithms.TemporalSegmentation.Ccdc,List,,0
119,tmaskBands,"List, default: null","The name or index of the bands to use for iterative TMask cloud detection. These are typically the green band and the SWIR1 band.  If unspecified, TMask is not used.  If specified, 'tmaskBands' must be included in 'breakpointBands'.",37,ee.Algorithms.TemporalSegmentation.Ccdc,List,,0
120,minObservations,"Integer, default: 6",The number of observations required to flag a change.,37,ee.Algorithms.TemporalSegmentation.Ccdc,Integer,6,0
121,chiSquareProbability,"Float, default: 0.99","The chi-square probability threshold for change detection in the range of [0, 1]",37,ee.Algorithms.TemporalSegmentation.Ccdc,Float,0.99,0
122,minNumOfYearsScaler,"Float, default: 1.33",Factors of minimum number of years to apply new fitting.,37,ee.Algorithms.TemporalSegmentation.Ccdc,Float,1.33,0
123,dateFormat,"Integer, default: 0","The time representation to use during fitting: 0 = jDays, 1 = fractional years,  2 = unix time in milliseconds. The start, end and break times for each temporal  segment will be encoded this way.",37,ee.Algorithms.TemporalSegmentation.Ccdc,Integer,0,0
124,lambda,"Float, default: 20","Lambda for LASSO regression fitting. If set to 0, regular OLS is used instead of LASSO.",37,ee.Algorithms.TemporalSegmentation.Ccdc,Float,20,0
125,maxIterations,"Integer, default: 25000","Maximum number of runs for LASSO regression convergence. If set to 0, regular OLS is used instead of LASSO.",37,ee.Algorithms.TemporalSegmentation.Ccdc,Integer,25000,0
126,timeSeries,ImageCollection,Collection from which to extract EWMA. This collection is expected to contain 1 image for each year and be sorted temporally.,38,ee.Algorithms.TemporalSegmentation.Ewmacd,ImageCollection,,1
127,vegetationThreshold,Float,Threshold for vegetation. Values below this are considered non-vegetation.,38,ee.Algorithms.TemporalSegmentation.Ewmacd,Float,,1
128,trainingStartYear,Integer,"Start year of training period, inclusive.",38,ee.Algorithms.TemporalSegmentation.Ewmacd,Integer,,1
129,trainingEndYear,Integer,"End year of training period, exclusive.",38,ee.Algorithms.TemporalSegmentation.Ewmacd,Integer,,1
130,harmonicCount,"Integer, default: 2",Number of harmonic function pairs (sine and cosine) used.,38,ee.Algorithms.TemporalSegmentation.Ewmacd,Integer,2,0
131,xBarLimit1,"Float, default: 1.5",Threshold for initial training xBar limit.,38,ee.Algorithms.TemporalSegmentation.Ewmacd,Float,1.5,0
132,xBarLimit2,"Integer, default: 20",Threshold for running xBar limit.,38,ee.Algorithms.TemporalSegmentation.Ewmacd,Integer,20,0
133,lambda,"Float, default: 0.3",The 'lambda' tuning parameter weighting new years vs the running average.,38,ee.Algorithms.TemporalSegmentation.Ewmacd,Float,0.3,0
134,lambdasigs,"Float, default: 3","EWMA control bounds, in units of standard deviations.",38,ee.Algorithms.TemporalSegmentation.Ewmacd,Float,3,0
135,rounding,"Boolean, default: true",Should rounding be performed for EWMA,38,ee.Algorithms.TemporalSegmentation.Ewmacd,Boolean,TRUE,0
136,persistence,"Integer, default: 3",Minimum number of observations needed to consider a change.,38,ee.Algorithms.TemporalSegmentation.Ewmacd,Integer,3,0
137,timeSeries,ImageCollection,"Yearly time-series from which to extract breakpoints. The first band is usedto find breakpoints, and all subsequent bands are fitted using those breakpoints.",39,ee.Algorithms.TemporalSegmentation.LandTrendr,ImageCollection,,1
138,maxSegments,Integer,Maximum number of segments to be fitted on the time series.,39,ee.Algorithms.TemporalSegmentation.LandTrendr,Integer,,1
139,spikeThreshold,"Float, default: 0.9",Threshold for dampening the spikes (1.0 means no dampening).,39,ee.Algorithms.TemporalSegmentation.LandTrendr,Float,0.9,0
140,vertexCountOvershoot,"Integer, default: 3","The initial model can overshoot the maxSegments + 1 vertices by this amount. Later, it will be pruned down to maxSegments + 1.",39,ee.Algorithms.TemporalSegmentation.LandTrendr,Integer,3,0
141,preventOneYearRecovery,"Boolean, default: false",Prevent segments that represent one year recoveries.,39,ee.Algorithms.TemporalSegmentation.LandTrendr,Boolean,FALSE,0
142,recoveryThreshold,"Float, default: 0.25","If a segment has a recovery rate faster than 1/recoveryThreshold (in years), then the segment is disallowed.",39,ee.Algorithms.TemporalSegmentation.LandTrendr,Float,0.25,0
143,pvalThreshold,"Float, default: 0.1","If the p-value of the fitted model exceeds this threshold, then the current model is discarded and another one is fitted using the Levenberg-Marquardt optimizer.",39,ee.Algorithms.TemporalSegmentation.LandTrendr,Float,0.1,0
144,bestModelProportion,"Float, default: 0.75",Allows models with more vertices to be chosen if their p-value is no more than (2 - bestModelProportion) times the p-value of the best model.,39,ee.Algorithms.TemporalSegmentation.LandTrendr,Float,0.75,0
145,minObservationsNeeded,"Integer, default: 6",Min observations needed to perform output fitting.,39,ee.Algorithms.TemporalSegmentation.LandTrendr,Integer,6,0
146,timeSeries,ImageCollection,Time series to interpolate.,40,ee.Algorithms.TemporalSegmentation.LandTrendrFit,ImageCollection,,1
147,vertices,Image,Vertices image. A 1D array of LandTrendr breakpoint years.,40,ee.Algorithms.TemporalSegmentation.LandTrendrFit,Image,,1
148,spikeThreshold,"Float, default: 0.9",Threshold for dampening input spikes (1.0 means no dampening).,40,ee.Algorithms.TemporalSegmentation.LandTrendrFit,Float,0.9,0
149,minObservationsNeeded,"Integer, default: 6",Min observations needed.,40,ee.Algorithms.TemporalSegmentation.LandTrendrFit,Integer,6,0
150,collection,ImageCollection,Collection of images on which to detect breakpoints.,41,ee.Algorithms.TemporalSegmentation.StructuralChangeBreakpoints,ImageCollection,,1
151,breakpointBand,"String, default: null",The name of the band to use for breakpoint detection. Optional only if the images have only a single band.,41,ee.Algorithms.TemporalSegmentation.StructuralChangeBreakpoints,String,,0
152,seasonalModelOrder,"Integer, default: 3",The order of the harmonic seasonal model.,41,ee.Algorithms.TemporalSegmentation.StructuralChangeBreakpoints,Integer,3,0
153,minSpacing,"Float, default: 0.15","The minimum spacing between breakpoints. If this is between 0 and 1 (exclusive), it will be interpreted as a fraction of the number of images in the collection. Otherwise, it will be interpreted as a number of samples.",41,ee.Algorithms.TemporalSegmentation.StructuralChangeBreakpoints,Float,0.15,0
154,maxBreaks,"Integer, default: 0",The maximum number of breakpoints.,41,ee.Algorithms.TemporalSegmentation.StructuralChangeBreakpoints,Integer,0,0
155,dateFormat,"Integer, default: 1","The time representation to use in the results: 1 = fractional years,  2 = unix time in milliseconds. This affects the values in the tStart and tEnd bands and the 't' values used in the harmonic model. The fractional years used here and in that model are defined as the fractional number of 365.25-day years since 1 Jan 1970.",41,ee.Algorithms.TemporalSegmentation.StructuralChangeBreakpoints,Integer,1,0
156,timeSeries,ImageCollection,"Collection from which to extract VCT disturbances, containing the bands: B3, B4, B5, B7, thermal, NDVI, DNBR and COMP.  This collection is expected to contain 1 image for each year, sorted by time.",42,ee.Algorithms.TemporalSegmentation.VCT,ImageCollection,,1
157,landCover,ImageCollection,"Collection from which to extract VCT masks. This collection is expected to contain 1 image for each image in the timeSeries, sorted by time.",42,ee.Algorithms.TemporalSegmentation.VCT,ImageCollection,,1
158,maxUd,"Float, default: 4",Maximum Z-score composite value for detecting forest.,42,ee.Algorithms.TemporalSegmentation.VCT,Float,4,0
159,minNdvi,"Float, default: 0.45",Minimum NDVI value for forest.,42,ee.Algorithms.TemporalSegmentation.VCT,Float,0.45,0
160,forThrMax,"Float, default: 3",Maximum threshold for forest.,42,ee.Algorithms.TemporalSegmentation.VCT,Float,3,0
161,nYears,"Integer, default: 30",Maximum number of years.,42,ee.Algorithms.TemporalSegmentation.VCT,Integer,30,0
162,timeSeries,ImageCollection,"Collection from which to extract VeRDET scores. This collection is expected to contain 1 image for each year, sorted temporally.",43,ee.Algorithms.TemporalSegmentation.Verdet,ImageCollection,,1
163,tolerance,"Float, default: 0.0001",Convergence tolerance.,43,ee.Algorithms.TemporalSegmentation.Verdet,Float,0.0001,0
164,alpha,"Float, default: 0.03333333333333333",Regularization parameter for segmentation.,43,ee.Algorithms.TemporalSegmentation.Verdet,Float,0.033333333,0
165,nRuns,"Integer, default: 100",Maximum number of runs for convergence.,43,ee.Algorithms.TemporalSegmentation.Verdet,Integer,100,0
166,input,Image,"An elevation image, in meters.",44,ee.Algorithms.Terrain,Image,,1
167,func,Function|String,The function to call. Either an ee.Function object or the name of an API function.,45,ee.apply,Function,,3
168,func,Function|String,The function to call. Either an ee.Function object or the name of an API function.,45,ee.apply,String,,3
169,namedArgs,Object,A dictionary of arguments to the function.,45,ee.apply,Object,,1
170,values,Object,"An existing array to cast, or a number/list of numbers/nested list of numbers of any depth to create an array from. For nested lists, all inner arrays at the same depth must have the same length, and numbers may only be present at the deepest level.",46,ee.Array,Object,,1
171,pixelType,"PixelType, default: null","The type of each number in the values argument. If the pixel type is not provided, it will be inferred from the numbers in 'values'. If there aren't any numbers in 'values', this type must be provided.",46,ee.Array,PixelType,,0
172,array,Array,Array to accumulate.,47,ee.Array.accum,Array,,1
173,axis,Integer,Axis along which to perform the accumulation.,47,ee.Array.accum,Integer,,1
174,reducer,"Reducer, default: null","Reducer to accumulate values. Default is SUM, to produce the cumulative sum of each vector along the given axis.",47,ee.Array.accum,Reducer,,0
175,array,Array,,48,ee.Array.argmax,Array,,1
176,input,Number,,49,ee.Array.bitsToArray,Number,,1
177,array,Array,The array to cut.,50,ee.Array.cut,Array,,1
178,position,List,"Cut an array along one or more axes.  The positions args specifies either a single value for each axis of the array, or -1, indicating the whole axis.  The output will be an array that has the same dimensions as the input, with a length of 1 on each axis that was not -1 in the positions array.",50,ee.Array.cut,List,,1
179,array1,Array,The first 1-D array.,51,ee.Array.dotProduct,Array,,1
180,array2,Array,The second 1-D array.,51,ee.Array.dotProduct,Array,,1
181,input,Array,"A square, 2D array from which to compute the eigenvalue decomposition.",52,ee.Array.eigen,Array,,1
182,input,Array,The input array.,53,ee.Array.erfc,Array,,1
183,input,Array,The input array.,54,ee.Array.erfcInv,Array,,1
184,left,Array,The left-hand value.,55,ee.Array.firstNonZero,Array,,1
185,right,Array,The right-hand value.,55,ee.Array.firstNonZero,Array,,1
186,size,Integer,The length of each axis.,56,ee.Array.identity,Integer,,1
187,input,Array,The array to compute on.,57,ee.Array.matrixTrace,Array,,1
188,array,Array,Array to pad.,58,ee.Array.pad,Array,,1
189,lengths,List,A list of new lengths for each axis.,58,ee.Array.pad,List,,1
